Sample	sg1_cr1	sg1_cr1:sg2_cr2	sg1_cr1:sg2_cr2:sg3_cr3	sg1_cr1:sg2_cr2:sg3_cr3:sg4_cr4	sg1_cr1:sg2_cr2:sg4_cr4	sg1_cr1:sg3_cr3	sg1_cr1:sg3_cr3:sg4_cr4	sg1_cr1:sg4_cr4	sg2_cr2	sg2_cr2:sg3_cr3	sg2_cr2:sg3_cr3:sg4_cr4	sg2_cr2:sg4_cr4	sg3_cr3	sg3_cr3:sg4_cr4	sg4_cr4
lima.0_16	16	4	9	94	3	6	134	11	4	1	11	0	12	16	4
lima.0_17	12	3	12	144	10	4	12	5	2	7	13	3	0	5	5
lima.0_18	6	3	7	119	6	1	8	3	3	2	5	2	5	7	2
lima.0_19	10	1	10	137	12	8	10	3	4	3	15	4	4	5	3
lima.0_20	13	8	16	183	43	5	10	9	4	3	18	12	2	1	3
lima.0_21	8	7	20	199	8	6	11	2	2	0	8	15	2	6	2
lima.0_22	7	5	18	205	11	4	12	3	3	8	22	4	5	4	3
lima.0_23	2	1	10	88	11	4	7	1	0	5	11	3	0	1	2
lima.0_24	69	0	5	89	9	1	3	2	4	4	13	5	3	2	0
lima.0_25	8	2	11	178	7	2	9	3	4	6	17	4	2	9	2
lima.0_26	13	2	18	240	17	3	16	4	8	7	23	3	5	4	5
lima.0_27	14	4	21	274	18	3	20	4	4	4	15	3	4	8	5
lima.0_28	22	3	12	236	21	8	11	2	5	4	27	5	3	5	3
lima.0_29	41	136	10	76	7	1	5	4	15	3	6	3	0	1	1
lima.0_30	8	3	10	106	7	3	9	4	0	1	10	3	4	1	4
lima.0_31	7	4	3	67	18	10	89	11	2	4	28	1	2	23	7
lima.0_32	9	11	11	206	34	3	6	7	7	6	28	8	3	5	7
lima.0_33	21	9	8	228	16	7	9	11	3	4	13	8	3	8	7
lima.0_34	12	4	15	231	10	5	16	5	3	7	19	3	9	3	6
lima.0_35	64	20	33	399	28	11	30	7	10	13	28	14	7	8	5
lima.0_36	17	3	17	202	18	3	15	2	5	9	18	3	2	6	0
lima.0_37	47	31	0	0	381	0	0	27	13	0	0	42	0	0	16
lima.0_38	11	6	22	214	10	7	9	8	7	3	15	5	2	6	2
lima.0_39	8	0	0	0	0	17	144	11	0	0	0	0	7	23	8
lima.1_16	25	20	0	3	235	0	1	21	14	1	0	29	0	0	10
lima.1_17	17	10	11	243	18	5	26	5	2	7	29	4	7	4	5
lima.1_18	3	2	20	125	8	1	9	5	1	3	7	2	2	4	3
lima.1_19	6	6	10	172	5	5	9	9	1	4	16	5	7	4	2
lima.1_20	27	24	0	0	289	0	0	33	14	0	0	29	0	0	10
lima.1_21	10	5	13	208	18	7	9	2	1	2	10	7	7	6	4
lima.1_22	6	5	11	173	5	5	12	3	0	6	18	3	8	6	0
lima.1_23	5	7	12	193	12	9	16	4	2	8	13	6	9	2	5
