sample	tot	sg1_cr1_identical	sg1_cr1_perc	sg2_cr2_identical	sg2_cr2_perc	sg3_cr3_identical	sg3_cr3_perc	sg4_cr4_identical	sg4_cr4_perc
lima.0_16	349	277	79.37	126	36.10	283	81.09	273	78.22
lima.0_17	258	202	78.29	194	75.19	197	76.36	197	76.36
lima.0_18	237	153	64.56	147	62.03	154	64.98	152	64.14
lima.0_19	279	191	68.46	186	66.67	192	68.82	189	67.74
lima.0_20	376	287	76.33	287	76.33	238	63.30	279	74.20
lima.0_21	322	261	81.06	259	80.43	252	78.26	251	77.95
lima.0_22	349	265	75.93	276	79.08	278	79.66	264	75.64
lima.0_23	177	124	70.06	129	72.88	126	71.19	124	70.06
lima.0_24	250	178	71.20	129	51.60	120	48.00	123	49.20
lima.0_25	281	220	78.29	229	81.49	234	83.27	229	81.49
lima.0_26	399	313	78.45	318	79.70	316	79.20	312	78.20
lima.0_27	432	358	82.87	343	79.40	349	80.79	347	80.32
lima.0_28	398	315	79.15	313	78.64	306	76.88	310	77.89
lima.0_29	360	280	77.78	256	71.11	102	28.33	103	28.61
lima.0_30	202	150	74.26	140	69.31	144	71.29	144	71.29
lima.0_31	322	209	64.91	127	39.44	226	70.19	244	75.78
lima.0_32	377	287	76.13	311	82.49	268	71.09	301	79.84
lima.0_33	385	309	80.26	289	75.06	280	72.73	300	77.92
lima.0_34	377	298	79.05	292	77.45	305	80.90	293	77.72
lima.0_35	722	592	81.99	545	75.48	529	73.27	519	71.88
lima.0_36	355	277	78.03	275	77.46	272	76.62	264	74.37
lima.0_37	612	486	79.41	467	76.31	0	0.00	466	76.14
lima.0_38	364	287	78.85	282	77.47	278	76.37	269	73.90
lima.0_39	256	180	70.31	0	0.00	191	74.61	186	72.66
lima.1_16	382	305	79.84	302	79.06	5	1.31	299	78.27
lima.1_17	425	335	78.82	324	76.24	332	78.12	334	78.59
lima.1_18	224	173	77.23	168	75.00	171	76.34	163	72.77
lima.1_19	291	222	76.29	219	75.26	227	78.01	222	76.29
lima.1_20	471	373	79.19	356	75.58	0	0.00	361	76.65
lima.1_21	346	272	78.61	264	76.30	262	75.72	264	76.30
lima.1_22	284	220	77.46	221	77.82	239	84.15	220	77.46
lima.1_23	337	258	76.56	253	75.07	262	77.74	251	74.48
lima.1_24	370	277	74.86	286	77.30	277	74.86	284	76.76
lima.1_25	325	248	76.31	258	79.38	243	74.77	260	80.00
lima.1_26	290	226	77.93	227	78.28	225	77.59	230	79.31
lima.1_27	297	230	77.44	229	77.10	223	75.08	222	74.75
lima.1_28	328	249	75.91	237	72.26	232	70.73	257	78.35
lima.1_29	333	256	76.88	261	78.38	255	76.58	254	76.28
lima.1_30	334	261	78.14	262	78.44	245	73.35	250	74.85
lima.1_31	377	291	77.19	301	79.84	288	76.39	168	44.56
lima.1_32	464	376	81.03	369	79.53	355	76.51	358	77.16
lima.1_33	317	250	78.86	241	76.03	245	77.29	250	78.86
lima.1_34	545	442	81.10	164	30.09	164	30.09	161	29.54
lima.1_35	353	271	76.77	2	0.57	262	74.22	252	71.39
lima.1_36	330	264	80.00	258	78.18	251	76.06	245	74.24
lima.1_37	308	240	77.92	233	75.65	228	74.03	241	78.25
lima.1_38	271	220	81.18	189	69.74	202	74.54	199	73.43
lima.1_39	317	231	72.87	180	56.78	228	71.92	232	73.19
lima.2_16	435	343	78.85	337	77.47	235	54.02	330	75.86
lima.2_17	482	402	83.40	0	0.00	0	0.00	0	0.00
lima.2_18	40	0	0.00	0	0.00	0	0.00	0	0.00
lima.2_19	325	242	74.46	230	70.77	239	73.54	241	74.15
lima.2_20	415	330	79.52	339	81.69	321	77.35	333	80.24
lima.2_21	333	243	72.97	234	70.27	230	69.07	220	66.07
lima.2_22	342	265	77.49	267	78.07	263	76.90	16	4.68
lima.2_23	284	222	78.17	214	75.35	213	75.00	212	74.65
lima.2_24	333	245	73.57	242	72.67	239	71.77	134	40.24
lima.2_25	456	356	78.07	346	75.88	345	75.66	299	65.57
lima.2_26	268	194	72.39	200	74.63	200	74.63	199	74.25
lima.2_27	558	442	79.21	439	78.67	453	81.18	435	77.96
lima.2_28	334	247	73.95	259	77.54	245	73.35	248	74.25
lima.2_29	394	321	81.47	291	73.86	311	78.93	273	69.29
lima.2_30	405	300	74.07	297	73.33	286	70.62	304	75.06
lima.2_31	407	322	79.12	314	77.15	8	1.97	301	73.96
lima.2_32	572	466	81.47	435	76.05	430	75.17	433	75.70
lima.2_33	922	754	81.78	123	13.34	125	13.56	117	12.69
lima.2_34	383	287	74.93	280	73.11	285	74.41	284	74.15
lima.2_35	334	244	73.05	251	75.15	240	71.86	251	75.15
lima.2_36	403	313	77.67	322	79.90	319	79.16	308	76.43
lima.2_37	341	268	78.59	259	75.95	248	72.73	255	74.78
lima.2_38	438	351	80.14	340	77.63	342	78.08	337	76.94
lima.2_39	699	516	73.82	527	75.39	391	55.94	538	76.97
lima.3_16	277	206	74.37	210	75.81	213	76.90	211	76.17
lima.3_17	20	0	0.00	0	0.00	0	0.00	0	0.00
lima.3_18	278	186	66.91	180	64.75	175	62.95	175	62.95
lima.3_19	381	302	79.27	234	61.42	308	80.84	303	79.53
lima.3_20	408	313	76.72	306	75.00	293	71.81	290	71.08
lima.3_21	334	249	74.55	257	76.95	246	73.65	108	32.34
lima.3_22	471	375	79.62	341	72.40	338	71.76	335	71.13
lima.3_23	321	249	77.57	239	74.45	256	79.75	247	76.95
lima.3_24	394	301	76.40	301	76.40	293	74.37	291	73.86
lima.3_25	477	368	77.15	182	38.16	357	74.84	364	76.31
lima.3_26	440	327	74.32	324	73.64	303	68.86	303	68.86
lima.3_27	592	471	79.56	446	75.34	442	74.66	439	74.16
lima.3_28	389	274	70.44	277	71.21	280	71.98	265	68.12
lima.3_29	470	365	77.66	360	76.60	359	76.38	354	75.32
lima.3_30	448	340	75.89	331	73.88	338	75.45	329	73.44
lima.3_31	440	340	77.27	334	75.91	345	78.41	336	76.36
lima.3_32	369	274	74.25	256	69.38	275	74.53	256	69.38
lima.3_33	415	324	78.07	224	53.98	223	53.73	222	53.49
lima.3_34	378	289	76.46	271	71.69	293	77.51	284	75.13
lima.3_35	297	218	73.40	214	72.05	209	70.37	211	71.04
lima.3_36	589	468	79.46	454	77.08	457	77.59	458	77.76
lima.3_37	631	501	79.40	481	76.23	476	75.44	468	74.17
lima.3_38	711	595	83.68	565	79.47	562	79.04	558	78.48
lima.3_39	503	383	76.14	363	72.17	392	77.93	387	76.94
