sample	tot	sg1_cr1_identical	sg1_cr1_perc	sg2_cr2_identical	sg2_cr2_perc	sg3_cr3_identical	sg3_cr3_perc	sg4_cr4_identical	sg4_cr4_perc
lima.0_16	224	205	91.52	85	37.95	199	88.84	198	88.39
lima.0_17	156	141	90.38	133	85.26	132	84.62	135	86.54
lima.0_18	128	96	75.00	93	72.66	92	71.88	92	71.88
lima.0_19	160	127	79.38	122	76.25	121	75.62	122	76.25
lima.0_20	224	200	89.29	201	89.73	168	75.00	198	88.39
lima.0_21	186	173	93.01	168	90.32	169	90.86	166	89.25
lima.0_22	205	187	91.22	179	87.32	182	88.78	173	84.39
lima.0_23	97	79	81.44	77	79.38	78	80.41	77	79.38
lima.0_24	161	132	81.99	91	56.52	86	53.42	89	55.28
lima.0_25	171	162	94.74	159	92.98	160	93.57	160	93.57
lima.0_26	240	224	93.33	219	91.25	214	89.17	215	89.58
lima.0_27	283	267	94.35	257	90.81	253	89.40	257	90.81
lima.0_28	235	210	89.36	200	85.11	201	85.53	201	85.53
lima.0_29	226	202	89.38	179	79.20	65	28.76	67	29.65
lima.0_30	112	92	82.14	88	78.57	89	79.46	87	77.68
lima.0_31	195	144	73.85	96	49.23	157	80.51	168	86.15
lima.0_32	217	198	91.24	198	91.24	179	82.49	197	90.78
lima.0_33	230	210	91.30	198	86.09	192	83.48	195	84.78
lima.0_34	227	212	93.39	204	89.87	208	91.63	207	91.19
lima.0_35	448	419	93.53	373	83.26	368	82.14	379	84.60
lima.0_36	233	205	87.98	194	83.26	194	83.26	195	83.69
lima.0_37	373	345	92.49	319	85.52	0	0.00	319	85.52
lima.0_38	203	185	91.13	181	89.16	180	88.67	170	83.74
lima.0_39	136	119	87.50	0	0.00	118	86.76	119	87.50
lima.1_16	238	221	92.86	207	86.97	1	0.42	210	88.24
lima.1_17	256	233	91.02	224	87.50	227	88.67	229	89.45
lima.1_18	135	121	89.63	116	85.93	118	87.41	112	82.96
lima.1_19	173	144	83.24	146	84.39	149	86.13	145	83.82
lima.1_20	298	270	90.60	257	86.24	0	0.00	262	87.92
lima.1_21	200	184	92.00	177	88.50	174	87.00	178	89.00
lima.1_22	164	148	90.24	144	87.80	147	89.63	145	88.41
lima.1_23	205	181	88.29	177	86.34	178	86.83	177	86.34
lima.1_24	236	201	85.17	205	86.86	200	84.75	200	84.75
lima.1_25	176	158	89.77	154	87.50	154	87.50	159	90.34
lima.1_26	178	164	92.13	161	90.45	159	89.33	159	89.33
lima.1_27	185	167	90.27	159	85.95	159	85.95	157	84.86
lima.1_28	203	169	83.25	164	80.79	159	78.33	167	82.27
lima.1_29	206	184	89.32	181	87.86	180	87.38	179	86.89
lima.1_30	200	175	87.50	170	85.00	170	85.00	165	82.50
lima.1_31	230	213	92.61	204	88.70	200	86.96	121	52.61
