1. 	 ΔG = -3.9 	 ΔH = -40.8 	 ΔS = -119.1 	 Tm = 14.2°C 	 Image: PNG PDF 	 Thermodynamic details
2. 	 ΔG = -2.4 	 ΔH = -41.5 	 ΔS = -126.2 	 Tm = 0.2°C 	 Image: PNG PDF 	 Thermodynamic details
3. 	 ΔG = -3.2 	 ΔH = -29.2 	 ΔS = -83.7 	 Tm = -6.1°C 	 Image: PNG PDF 	 Thermodynamic details
4. 	 ΔG = -2.7 	 ΔH = -30.3 	 ΔS = -88.9 	 Tm = -8.6°C 	 Image: PNG PDF 	 Thermodynamic details
5. 	 ΔG = -2.4 	 ΔH = -41.5 	 ΔS = -126.2 	 Tm = 0.2°C 	 Image: PNG PDF 	 Thermodynamic details
6. 	 ΔG = -3.2 	 ΔH = -49.0 	 ΔS = -147.7 	 Tm = 14.1°C 	 Image: PNG PDF 	 Thermodynamic details
7. 	 ΔG = -4.0 	 ΔH = -34.7 	 ΔS = -98.8 	 Tm = 5.7°C 	 Image: PNG PDF 	 Thermodynamic details
8. 	 ΔG = -2.5 	 ΔH = -26.7 	 ΔS = -77.9 	 Tm = -15.3°C 	 Image: PNG PDF 	 Thermodynamic details
9. 	 ΔG = -3.2 	 ΔH = -29.2 	 ΔS = -83.7 	 Tm = -6.1°C 	 Image: PNG PDF 	 Thermodynamic details
10. 	 ΔG = -4.0 	 ΔH = -34.7 	 ΔS = -98.8 	 Tm = 5.7°C 	 Image: PNG PDF 	 Thermodynamic details
11. 	 ΔG = -2.0 	 ΔH = -27.8 	 ΔS = -83.1 	 Tm = -10.9°C 	 Image: PNG PDF 	 Thermodynamic details
12. 	 ΔG = -5.1 	 ΔH = -59.7 	 ΔS = -176.1 	 Tm = 22.8°C 	 Image: PNG PDF 	 Thermodynamic details
13. 	 ΔG = -2.7 	 ΔH = -30.3 	 ΔS = -88.9 	 Tm = -8.6°C 	 Image: PNG PDF 	 Thermodynamic details
14. 	 ΔG = -2.5 	 ΔH = -26.7 	 ΔS = -77.9 	 Tm = -15.3°C 	 Image: PNG PDF 	 Thermodynamic details
15. 	 ΔG = -5.1 	 ΔH = -59.7 	 ΔS = -176.1 	 Tm = 22.8°C 	 Image: PNG PDF 	 Thermodynamic details
16. 	 ΔG = -5.6 	 ΔH = -58.2 	 ΔS = -169.7 	 Tm = 29.0°C 	 Image: PNG PDF 	 Thermodynamic details
17. 	 ΔG = -9.6 	 ΔH = -67.0 	 ΔS = -185.2 	 Tm = 48.9°C 	 Image: PNG PDF 	 Thermodynamic details
18. 	 ΔG = -5.3 	 ΔH = -39.2 	 ΔS = -109.4 	 Tm = 17.2°C 	 Image: PNG PDF 	 Thermodynamic details
19. 	 ΔG = -3.5 	 ΔH = -68.2 	 ΔS = -208.8 	 Tm = 17.8°C 	 Image: PNG PDF 	 Thermodynamic details
20. 	 ΔG = -5.5 	 ΔH = -36.7 	 ΔS = -100.4 	 Tm = 18.0°C 	 Image: PNG PDF 	 Thermodynamic details
21. 	 ΔG = -5.3 	 ΔH = -39.2 	 ΔS = -109.4 	 Tm = 17.2°C 	 Image: PNG PDF 	 Thermodynamic details
22. 	 ΔG = -7.2 	 ΔH = -66.2 	 ΔS = -190.4 	 Tm = 37.3°C 	 Image: PNG PDF 	 Thermodynamic details
23. 	 ΔG = -4.7 	 ΔH = -34.1 	 ΔS = -94.7 	 Tm = 10.2°C 	 Image: PNG PDF 	 Thermodynamic details
24. 	 ΔG = -3.3 	 ΔH = -32.1 	 ΔS = -92.9 	 Tm = -2.4°C 	 Image: PNG PDF 	 Thermodynamic details
25. 	 ΔG = -3.5 	 ΔH = -68.2 	 ΔS = -208.8 	 Tm = 17.8°C 	 Image: PNG PDF 	 Thermodynamic details
26. 	 ΔG = -4.7 	 ΔH = -34.1 	 ΔS = -94.7 	 Tm = 10.2°C 	 Image: PNG PDF 	 Thermodynamic details
27. 	 ΔG = -2.9 	 ΔH = -23.2 	 ΔS = -65.5 	 Tm = -10.6°C 	 Image: PNG PDF 	 Thermodynamic details
28. 	 ΔG = -2.4 	 ΔH = -30.9 	 ΔS = -92.0 	 Tm = -10.4°C 	 Image: PNG PDF 	 Thermodynamic details
29. 	 ΔG = -5.5 	 ΔH = -36.7 	 ΔS = -100.4 	 Tm = 18.0°C 	 Image: PNG PDF 	 Thermodynamic details
30. 	 ΔG = -3.3 	 ΔH = -32.1 	 ΔS = -92.9 	 Tm = -2.4°C 	 Image: PNG PDF 	 Thermodynamic details
31. 	 ΔG = -2.4 	 ΔH = -30.9 	 ΔS = -92.0 	 Tm = -10.4°C 	 Image: PNG PDF 	 Thermodynamic details
32. 	 ΔG = -2.8 	 ΔH = -57.4 	 ΔS = -176.0 	 Tm = 15.5°C 	 Image: PNG PDF 	 Thermodynamic details
33. 	 ΔG = -2.6 	 ΔH = -56.8 	 ΔS = -174.9 	 Tm = 14.0°C 	 Image: PNG PDF 	 Thermodynamic details
34. 	 ΔG = -1.8 	 ΔH = -14.6 	 ΔS = -41.1 	 Tm = -54.5°C 	 Image: PNG PDF 	 Thermodynamic details
35. 	 ΔG = -2.4 	 ΔH = -28.1 	 ΔS = -82.8 	 Tm = -14.1°C 	 Image: PNG PDF 	 Thermodynamic details
36. 	 ΔG = -3.4 	 ΔH = -30.6 	 ΔS = -87.8 	 Tm = -3.5°C 	 Image: PNG PDF 	 Thermodynamic details
37. 	 ΔG = -1.8 	 ΔH = -14.6 	 ΔS = -41.1 	 Tm = -54.5°C 	 Image: PNG PDF 	 Thermodynamic details
38. 	 ΔG = -1.7 	 ΔH = -19.7 	 ΔS = -58.0 	 Tm = -29.7°C 	 Image: PNG PDF 	 Thermodynamic details
39. 	 ΔG = -3.3 	 ΔH = -27.7 	 ΔS = -78.7 	 Tm = -7.6°C 	 Image: PNG PDF 	 Thermodynamic details
40. 	 ΔG = -3.1 	 ΔH = -24.0 	 ΔS = -67.4 	 Tm = -15.2°C 	 Image: PNG PDF 	 Thermodynamic details
41. 	 ΔG = -2.4 	 ΔH = -28.1 	 ΔS = -82.8 	 Tm = -14.1°C 	 Image: PNG PDF 	 Thermodynamic details
42. 	 ΔG = -3.3 	 ΔH = -27.7 	 ΔS = -78.7 	 Tm = -7.6°C 	 Image: PNG PDF 	 Thermodynamic details
43. 	 ΔG = -3.4 	 ΔH = -39.8 	 ΔS = -117.3 	 Tm = 10.9°C 	 Image: PNG PDF 	 Thermodynamic details
