1. 	 ΔG = -2.7 	 ΔH = -27.4 	 ΔS = -79.6 	 Tm = -5.7°C 	 Image: PNG PDF 	 Thermodynamic details
2. 	 ΔG = -4.4 	 ΔH = -36.4 	 ΔS = -103.2 	 Tm = 9.3°C 	 Image: PNG PDF 	 Thermodynamic details
3. 	 ΔG = -3.9 	 ΔH = -53.4 	 ΔS = -159.7 	 Tm = 15.0°C 	 Image: PNG PDF 	 Thermodynamic details
4. 	 ΔG = -5.4 	 ΔH = -79.3 	 ΔS = -238.2 	 Tm = 27.4°C 	 Image: PNG PDF 	 Thermodynamic details
5. 	 ΔG = -4.4 	 ΔH = -36.4 	 ΔS = -103.2 	 Tm = 9.3°C 	 Image: PNG PDF 	 Thermodynamic details
6. 	 ΔG = -2.3 	 ΔH = -42.2 	 ΔS = -128.6 	 Tm = 5.4°C 	 Image: PNG PDF 	 Thermodynamic details
7. 	 ΔG = -6.4 	 ΔH = -67.0 	 ΔS = -195.5 	 Tm = 29.9°C 	 Image: PNG PDF 	 Thermodynamic details
8. 	 ΔG = -6.1 	 ΔH = -43.3 	 ΔS = -119.9 	 Tm = 24.3°C 	 Image: PNG PDF 	 Thermodynamic details
9. 	 ΔG = -3.9 	 ΔH = -53.4 	 ΔS = -159.7 	 Tm = 15.0°C 	 Image: PNG PDF 	 Thermodynamic details
10. 	 ΔG = -6.4 	 ΔH = -67.0 	 ΔS = -195.5 	 Tm = 29.9°C 	 Image: PNG PDF 	 Thermodynamic details
11. 	 ΔG = -6.8 	 ΔH = -56.2 	 ΔS = -159.3 	 Tm = 35.3°C 	 Image: PNG PDF 	 Thermodynamic details
12. 	 ΔG = -6.4 	 ΔH = -44.5 	 ΔS = -122.9 	 Tm = 26.4°C 	 Image: PNG PDF 	 Thermodynamic details
13. 	 ΔG = -5.4 	 ΔH = -79.3 	 ΔS = -238.2 	 Tm = 27.4°C 	 Image: PNG PDF 	 Thermodynamic details
14. 	 ΔG = -6.1 	 ΔH = -43.3 	 ΔS = -119.9 	 Tm = 24.3°C 	 Image: PNG PDF 	 Thermodynamic details
15. 	 ΔG = -6.4 	 ΔH = -44.5 	 ΔS = -122.9 	 Tm = 26.4°C 	 Image: PNG PDF 	 Thermodynamic details
16. 	 ΔG = -6.0 	 ΔH = -82.6 	 ΔS = -247.1 	 Tm = 32.8°C 	 Image: PNG PDF 	 Thermodynamic details
17. 	 ΔG = -5.2 	 ΔH = -40.8 	 ΔS = -114.9 	 Tm = 22.9°C 	 Image: PNG PDF 	 Thermodynamic details
18. 	 ΔG = -3.0 	 ΔH = -30.6 	 ΔS = -89.2 	 Tm = -6.6°C 	 Image: PNG PDF 	 Thermodynamic details
19. 	 ΔG = -5.8 	 ΔH = -47.6 	 ΔS = -134.7 	 Tm = 23.7°C 	 Image: PNG PDF 	 Thermodynamic details
20. 	 ΔG = -3.3 	 ΔH = -46.9 	 ΔS = -140.5 	 Tm = 9.2°C 	 Image: PNG PDF 	 Thermodynamic details
21. 	 ΔG = -3.0 	 ΔH = -30.6 	 ΔS = -89.2 	 Tm = -6.6°C 	 Image: PNG PDF 	 Thermodynamic details
22. 	 ΔG = -6.1 	 ΔH = -65.1 	 ΔS = -190.3 	 Tm = 32.2°C 	 Image: PNG PDF 	 Thermodynamic details
23. 	 ΔG = -5.0 	 ΔH = -41.6 	 ΔS = -118.2 	 Tm = 16.1°C 	 Image: PNG PDF 	 Thermodynamic details
24. 	 ΔG = -4.5 	 ΔH = -43.2 	 ΔS = -124.8 	 Tm = 14.0°C 	 Image: PNG PDF 	 Thermodynamic details
25. 	 ΔG = -5.8 	 ΔH = -47.6 	 ΔS = -134.7 	 Tm = 23.7°C 	 Image: PNG PDF 	 Thermodynamic details
