1. 	 ΔG = -6.5 	 ΔH = -50.2 	 ΔS = -140.9 	 Tm = 33.4°C 	 Image: PNG PDF 	 Thermodynamic details
2. 	 ΔG = -4.1 	 ΔH = -43.0 	 ΔS = -125.5 	 Tm = 11.5°C 	 Image: PNG PDF 	 Thermodynamic details
3. 	 ΔG = -3.0 	 ΔH = -18.5 	 ΔS = -49.9 	 Tm = -28.2°C 	 Image: PNG PDF 	 Thermodynamic details
4. 	 ΔG = -2.1 	 ΔH = -27.2 	 ΔS = -80.9 	 Tm = -17.8°C 	 Image: PNG PDF 	 Thermodynamic details
5. 	 ΔG = -4.1 	 ΔH = -43.0 	 ΔS = -125.5 	 Tm = 11.5°C 	 Image: PNG PDF 	 Thermodynamic details
6. 	 ΔG = -0.8 	 ΔH = -13.4 	 ΔS = -40.5 	 Tm = -70.4°C 	 Image: PNG PDF 	 Thermodynamic details
7. 	 ΔG = -3.2 	 ΔH = -23.1 	 ΔS = -64.1 	 Tm = -15.8°C 	 Image: PNG PDF 	 Thermodynamic details
8. 	 ΔG = -4.1 	 ΔH = -43.0 	 ΔS = -125.5 	 Tm = 11.5°C 	 Image: PNG PDF 	 Thermodynamic details
9. 	 ΔG = -9.0 	 ΔH = -62.0 	 ΔS = -170.8 	 Tm = 46.9°C 	 Image: PNG PDF 	 Thermodynamic details
10. 	 ΔG = -2.5 	 ΔH = -17.1 	 ΔS = -47.2 	 Tm = -38.4°C 	 Image: PNG PDF 	 Thermodynamic details
11. 	 ΔG = -4.9 	 ΔH = -36.5 	 ΔS = -101.8 	 Tm = 13.4°C 	 Image: PNG PDF 	 Thermodynamic details
12. 	 ΔG = -4.1 	 ΔH = -43.0 	 ΔS = -125.5 	 Tm = 11.5°C 	 Image: PNG PDF 	 Thermodynamic details
13. 	 ΔG = -3.4 	 ΔH = -32.8 	 ΔS = -94.8 	 Tm = -0.8°C 	 Image: PNG PDF 	 Thermodynamic details
14. 	 ΔG = -4.5 	 ΔH = -33.9 	 ΔS = -94.7 	 Tm = 8.5°C 	 Image: PNG PDF 	 Thermodynamic details
15. 	 ΔG = -3.0 	 ΔH = -18.5 	 ΔS = -49.9 	 Tm = -28.2°C 	 Image: PNG PDF 	 Thermodynamic details
16. 	 ΔG = -2.5 	 ΔH = -17.1 	 ΔS = -47.2 	 Tm = -38.4°C 	 Image: PNG PDF 	 Thermodynamic details
17. 	 ΔG = -6.0 	 ΔH = -37.8 	 ΔS = -102.5 	 Tm = 28.4°C 	 Image: PNG PDF 	 Thermodynamic details
18. 	 ΔG = -3.6 	 ΔH = -97.8 	 ΔS = -303.6 	 Tm = 23.9°C 	 Image: PNG PDF 	 Thermodynamic details
19. 	 ΔG = -1.9 	 ΔH = -17.9 	 ΔS = -51.5 	 Tm = -41.0°C 	 Image: PNG PDF 	 Thermodynamic details
20. 	 ΔG = -3.5 	 ΔH = -33.0 	 ΔS = -95.2 	 Tm = -0.1°C 	 Image: PNG PDF 	 Thermodynamic details
21. 	 ΔG = -8.4 	 ΔH = -62.6 	 ΔS = -174.6 	 Tm = 43.8°C 	 Image: PNG PDF 	 Thermodynamic details
22. 	 ΔG = -5.7 	 ΔH = -46.2 	 ΔS = -130.6 	 Tm = 22.6°C 	 Image: PNG PDF 	 Thermodynamic details
23. 	 ΔG = -3.5 	 ΔH = -35.3 	 ΔS = -102.6 	 Tm = 2.2°C 	 Image: PNG PDF 	 Thermodynamic details
24. 	 ΔG = -4.3 	 ΔH = -30.7 	 ΔS = -85.1 	 Tm = 4.1°C 	 Image: PNG PDF 	 Thermodynamic details
25. 	 ΔG = -6.7 	 ΔH = -41.8 	 ΔS = -113.2 	 Tm = 28.0°C 	 Image: PNG PDF 	 Thermodynamic details
26. 	 ΔG = -6.3 	 ΔH = -46.0 	 ΔS = -128.0 	 Tm = 26.2°C 	 Image: PNG PDF 	 Thermodynamic details
27. 	 ΔG = -4.1 	 ΔH = -35.2 	 ΔS = -100.1 	 Tm = 6.7°C 	 Image: PNG PDF 	 Thermodynamic details
28. 	 ΔG = -5.7 	 ΔH = -46.2 	 ΔS = -130.6 	 Tm = 22.6°C 	 Image: PNG PDF 	 Thermodynamic details
29. 	 ΔG = -8.2 	 ΔH = -64.8 	 ΔS = -182.6 	 Tm = 42.1°C 	 Image: PNG PDF 	 Thermodynamic details
30. 	 ΔG = -4.1 	 ΔH = -30.3 	 ΔS = -84.5 	 Tm = 1.9°C 	 Image: PNG PDF 	 Thermodynamic details
31. 	 ΔG = -3.9 	 ΔH = -50.7 	 ΔS = -151.0 	 Tm = 14.0°C 	 Image: PNG PDF 	 Thermodynamic details
32. 	 ΔG = -6.7 	 ΔH = -50.7 	 ΔS = -141.7 	 Tm = 29.8°C 	 Image: PNG PDF 	 Thermodynamic details
33. 	 ΔG = -4.3 	 ΔH = -49.4 	 ΔS = -145.3 	 Tm = 15.8°C 	 Image: PNG PDF 	 Thermodynamic details
