Category	Included_for_CRISPRi	Entrez_ID	Gene_symbol	Achilles_mean_probability	Achilles_common	BlomenHart_intersect	BlomenHart_intersect_DepMap	Hart_3_or_more_lines	Hart_HeLa	Blomen_HAP1_KBM7_intersect
Vacuolation hits	Yes	9913	SUPT7L		Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	64922	LRRC19	0.00105597303578907	Non-essential	N/A	N/A	N/A	N/A	Non-essential
Vacuolation hits	Yes	29796	UQCR10	0.260149055295959	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	158931	TCEAL6		Non-essential	N/A	N/A	N/A	N/A	Non-essential
Vacuolation hits	Yes	79415	CYBC1	0.0645288184228148	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	2652	OPN1MW		N/A	N/A	N/A	N/A	N/A	Non-essential
Vacuolation hits	Yes	7367	UGT2B17	0.00401172066767669	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	10622	POLR3G		Non-essential	N/A	N/A	N/A	N/A	N/A
Vacuolation hits	Yes	10921	RNPS1		Essential	Non-essential	Essential	Non-essential	Non-essential	Essential
Vacuolation hits	Yes	64841	GNPNAT1	0.460073410790556	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	1044	CDX1	0.00528279706409165	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	10403	NDC80	0.978147999038495	Essential	Essential	Essential	Essential	Essential	Essential
Vacuolation hits	Yes	7348	UPK1B	0.00856973093097216	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	27044	SND1		Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	284325	C19orf54	0.0105061798583146	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	114904	C1QTNF6	0.0544787508237442	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	5364	PLXNB1	0.0134687319606958	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	127069	OR2T10	0.00912306835602602	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	8838	CCN6	0.00554650339763678	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	254359	ZDHHC24	0.156710052682786	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	58157	NGB	0.00795288927387275	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	11338	U2AF2		Essential	Essential	Essential	Essential	Essential	Essential
Vacuolation hits	Yes	121536	AEBP2		Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
LSm genes	Yes	27257	LSM1	0.0588368642056002	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	90167	FRMD7		Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	200312	RNF215	0.0323084704908309	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	28992	MACROD1	0.0857711153697952	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Non-essential
Vacuolation hits	Yes	123036	TC2N	0.0122102798819553	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	29967	LRP12	0.0208208907776552	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	10907	TXNL4A	0.998715902234487	Essential	Essential	Essential	Essential	Essential	Essential
Vacuolation hits	Yes	2517	FUCA1	0.0625998792525018	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	90952	ESAM	0.00438707856292474	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	5428	POLG	0.407828813085879	Non-essential	Non-essential	Non-essential	Essential	Essential	Non-essential
Vacuolation hits	Yes	64901	RANBP17	0.00401995755758744	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	9587	MAD2L1BP	0.337286997541408	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	6482	ST3GAL1	0.161281285505379	Non-essential	N/A	N/A	Non-essential	Non-essential	N/A
Vacuolation hits	Yes	27439	TMEM121B	0.0774335857254849	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	353091	RAET1G	0.0181073990556902	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
LSm genes	Yes	23658	LSM5	0.722935434609476	Essential	Non-essential	Essential	Non-essential	Non-essential	Essential
Vacuolation hits	Yes	26595	OR8B2	0.00806337792693569	Non-essential	N/A	N/A	N/A	N/A	Non-essential
Vacuolation hits	Yes	3868	KRT16	0.175305722448134	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	22889	KHDC4	0.212296370975288	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	11325	DDX42	0.943138853292077	Essential	N/A	N/A	Essential	Essential	N/A
Vacuolation hits	Yes	655	BMP7	0.0104147301603638	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	390502	SERPINA2		N/A	N/A	N/A	N/A	N/A	N/A
Vacuolation hits	Yes	283150	FOXR1	0.0116488892780235	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	23636	NUP62	0.878293524970141	Essential	Non-essential	Non-essential	Essential	Essential	Non-essential
Vacuolation hits	Yes	820	CAMP	0.0379334256854131	Non-essential	N/A	N/A	Non-essential	Non-essential	N/A
Vacuolation hits	Yes	158038	LINGO2	0.00677519380598268	Non-essential	N/A	N/A	Non-essential	Non-essential	N/A
Vacuolation hits	Yes	10588	MTHFS	0.0324280697208696	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	84976	DISP1	0.0089448171615856	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
