Category	Included_for_CRISPRi	Entrez_ID	Gene_symbol	Achilles_mean_probability	Achilles_num_essential	Achilles_num_cell_lines	Achilles_common	BlomenHart_intersect	BlomenHart_intersect_DepMap	Hart_3_or_more_lines	Hart_HeLa	Blomen_HAP1_KBM7_intersect
Vacuolation hits	Yes	9913	SUPT7L		56	796	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	64922	LRRC19	0.00109596640115085	0	808	Non-essential	N/A	N/A	N/A	N/A	Non-essential
Vacuolation hits	Yes	29796	UQCR10	0.266891304369129	165	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	158931	TCEAL6		0	793	Non-essential	N/A	N/A	N/A	N/A	Non-essential
Vacuolation hits	Yes	79415	CYBC1	0.0662488323965964	3	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	2652	OPN1MW				N/A	N/A	N/A	N/A	N/A	Non-essential
Vacuolation hits	Yes	7367	UGT2B17	0.00266326071785478	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	10622	POLR3G		0	796	Non-essential	N/A	N/A	N/A	N/A	N/A
Vacuolation hits	Yes	10921	RNPS1		787	796	Essential	Non-essential	Essential	Non-essential	Non-essential	Essential
Vacuolation hits	Yes	64841	GNPNAT1	0.42050935696713	277	808	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	1044	CDX1	0.00507815470368757	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	10403	NDC80	0.978666073201297	807	808	Essential	Essential	Essential	Essential	Essential	Essential
Vacuolation hits	Yes	7348	UPK1B	0.00810078858114907	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	27044	SND1		0	796	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	284325	C19orf54	0.0108423203655174	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	114904	C1QTNF6	0.0570973826085667	3	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	5364	PLXNB1	0.0144058862051305	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	127069	OR2T10	0.0109355549606084	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	8838	CCN6	0.00539665845688774	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	254359	ZDHHC24	0.159683784986271	32	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	58157	NGB	0.00815607930209455	1	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	11338	U2AF2		795	796	Essential	Essential	Essential	Essential	Essential	Essential
Vacuolation hits	Yes	121536	AEBP2		5	796	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
LSm genes	Yes	27257	LSM1	0.0602671315027683	7	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	90167	FRMD7		0	805	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	200312	RNF215	0.0337767751998165	1	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	28992	MACROD1	0.0885915100313469	6	808	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Non-essential
Vacuolation hits	Yes	123036	TC2N	0.00418765679524014	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	29967	LRP12	0.0186113287840617	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	10907	TXNL4A	0.998464883168934	808	808	Essential	Essential	Essential	Essential	Essential	Essential
Vacuolation hits	Yes	2517	FUCA1	0.0649638676026794	4	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	90952	ESAM	0.0043047432877431	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	5428	POLG	0.41302004444328	312	808	Non-essential	Non-essential	Non-essential	Essential	Essential	Non-essential
Vacuolation hits	Yes	64901	RANBP17	0.00388949242653537	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	9587	MAD2L1BP	0.343597748155519	219	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	6482	ST3GAL1	0.141684090270754	26	808	Non-essential	N/A	N/A	Non-essential	Non-essential	N/A
Vacuolation hits	Yes	27439	TMEM121B	0.0801415217266416	11	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	353091	RAET1G	0.0185547437378242	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
LSm genes	Yes	23658	LSM5	0.723693376899809	679	808	Essential	Non-essential	Essential	Non-essential	Non-essential	Essential
Vacuolation hits	Yes	26595	OR8B2	0.0087524112458833	0	808	Non-essential	N/A	N/A	N/A	N/A	Non-essential
Vacuolation hits	Yes	3868	KRT16	0.175445136731989	46	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	22889	KHDC4	0.214344103671555	79	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	11325	DDX42	0.946921720406916	805	808	Essential	N/A	N/A	Essential	Essential	N/A
Vacuolation hits	Yes	655	BMP7	0.00925237279520289	1	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	390502	SERPINA2				N/A	N/A	N/A	N/A	N/A	N/A
Vacuolation hits	Yes	283150	FOXR1	0.0116442980538704	3	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	23636	NUP62	0.887031384545645	800	808	Essential	Non-essential	Non-essential	Essential	Essential	Non-essential
Vacuolation hits	Yes	820	CAMP	0.0399685140171915	1	808	Non-essential	N/A	N/A	Non-essential	Non-essential	N/A
Vacuolation hits	Yes	158038	LINGO2	0.00691042730801642	0	808	Non-essential	N/A	N/A	Non-essential	Non-essential	N/A
Vacuolation hits	Yes	10588	MTHFS	0.0325180333874121	1	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	84976	DISP1	0.00837487135130442	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	6625	SNRNP70	0.965198352718202	806	808	Essential	Essential	Essential	Essential	Essential	Essential
Vacuolation hits	Yes	126731	CCSAP	0.123002265890346	25	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	1820	ARID3A		346	796	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	3726	JUNB	0.260837951717353	138	808	Non-essential	Non-essential	Non-essential	Essential	Non-essential	Non-essential
Vacuolation hits	Yes	9380	GRHPR	0.0732734947043716	2	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	84859	LRCH3	0.0587835791459512	4	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	79156	PLEKHF1	0.035846619515024	3	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	51115	RMDN1	0.0893929157218275	6	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	4069	LYZ	0.0219039182872342	5	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	3978	LIG1	0.283904855309888	144	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Essential
Vacuolation hits	Yes	23640	HSPBP1	0.0104252152132398	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	137970	UNC5D	0.00712367532785991	1	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	143458	LDLRAD3	0.0112518107580345	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	4249	MGAT5	0.0493264622095919	1	808	Non-essential	N/A	N/A	Non-essential	Non-essential	N/A
Vacuolation hits	Yes	4654	MYOD1		10	796	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	6642	SNX1	0.0435957345248599	3	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	574028	CLLU1				N/A	Non-essential	N/A	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	10641	NPRL2	0.033417792829834	10	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	25804	LSM4	0.898120932486671	795	808	Essential	Essential	Essential	Essential	Essential	Essential
Vacuolation hits	Yes	84220	RGPD5				N/A	N/A	N/A	N/A	N/A	Non-essential
Vacuolation hits	Yes	90139	TSPAN18	0.0326924646418341	3	808	Non-essential	N/A	N/A	Non-essential	Non-essential	N/A
Vacuolation hits	Yes	79339	OR51B4	0.00103691949872654	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	54106	TLR9	0.0908562825083308	1	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	150244	ZDHHC8P1				N/A	N/A	N/A	N/A	N/A	N/A
Vacuolation hits	Yes	65094	JMJD4		2	796	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	29085	PHPT1	0.0144228261746842	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	126068	ZNF441	0.0688978770971053	1	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	166815	TIGD2	0.0102026918915216	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	10094	ARPC3	0.691154247028284	658	808	Essential	N/A	N/A	N/A	N/A	Essential
Vacuolation hits	Yes	1396	CRIP1	0.00945035164671705	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Non-essential
Vacuolation hits	Yes	7545	ZIC1	0.0037462425281887	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	29766	TMOD3	0.0103208858661804	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	6635	SNRPE		795	796	Essential	Essential	Essential	Essential	Essential	Essential
Vacuolation hits	Yes	293	SLC25A6		2	805	Non-essential	N/A	N/A	N/A	N/A	Non-essential
Vacuolation hits	Yes	9839	ZEB2	0.199108324915327	121	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	645104	CLRN2	0.0415718779199844	2	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	4927	NUP88	0.915899835523333	800	808	Essential	Essential	Essential	Essential	Essential	Essential
Vacuolation hits	Yes	345274	SLC10A6	0.0193595630940632	1	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	417	ART1	0.0300336535333487	3	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	196264	MPZL3	0.011949415917652	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	130106	CIB4	0.143244201022091	18	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	64137	ABCG4	0.0159744388709074	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	9991	PTBP3	0.0514482852840081	1	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	252884	ZNF396	0.0188906456672332	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	8989	TRPA1	0.0306796649211057	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	23379	ICE1	0.758472865094108	702	808	Essential	Essential	Non-essential	Essential	Essential	Essential
Vacuolation hits	Yes	60312	AFAP1	0.00218605711411676	0	808	Non-essential	N/A	N/A	Non-essential	Non-essential	N/A
Vacuolation hits	Yes	838	CASP5	0.00733149308611593	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	4668	NAGA	0.0109066762524864	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	23028	KDM1A		58	796	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Non-essential
Vacuolation hits	Yes	79411	GLB1L	0.014241645975451	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	389434	IYD	0.0624445344863041	1	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	11069	RAPGEF4	0.0144236707919308	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	91689	SMDT1	0.0270595062295574	2	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	84626	KRBA1				N/A	N/A	N/A	Non-essential	Non-essential	N/A
Vacuolation hits	Yes	56919	DHX33	0.968187771326436	805	808	Essential	Essential	Essential	Essential	Essential	Essential
Vacuolation hits	Yes	25963	TMEM87A	0.175081383583709	15	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	8562	DENR	0.825884824282104	769	808	Essential	Non-essential	Essential	Non-essential	Non-essential	Essential
Vacuolation hits	Yes	29	ABR	0.0295618888419559	3	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	5936	RBM4	0.468051201515193	352	808	Essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	55316	RSAD1	0.332534413959906	178	808	Non-essential	Non-essential	Non-essential	Essential	Essential	Non-essential
Vacuolation hits	Yes	2492	FSHR	0.00209132375516338	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	662	BNIP1	0.537163116701619	465	808	Essential	Essential	Essential	Essential	Essential	Essential
Vacuolation hits	Yes	120425	JAML	0.0575814497759744	2	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	23064	SETX	0.259778463376623	85	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	159963	SLC5A12	0.00445797709946275	1	808	Non-essential	Non-essential	Non-essential	Non-essential	Essential	Non-essential
Vacuolation hits	Yes	54716	SLC6A20	0.0252957886904269	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	22839	DLGAP4	0.00704584295942634	0	808	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
Vacuolation hits	Yes	648	BMI1		7	796	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential	Non-essential
